1490757542609,56,28-Mar-2017 10:19:02.002,ATL-OMA,-89.18712,37.1473,230.41351899387493,-49.24735
1490757543026,15,28-Mar-2017 10:19:03.003,MNL-SGN,120.64106,14.42312,233.8894707905273,-103.17624
1490757543466,37,28-Mar-2017 10:19:03.003,SYX-SWA,110.83077,19.34809,247.5738542751447,52.32455
1490757543564,24,28-Mar-2017 10:19:03.003,BIL-LAS,-111.32045,42.11029,290.3468009651204,-152.50961
1490757543659,38,28-Mar-2017 10:19:03.003,CMN-EUN,-8.42776,32.50732,224.71407303382233,-140.95605
1490757544018,28,28-Mar-2017 10:19:04.004,LGG-AGA,-1.49797,43.03999,220.1453785420037,-150.4749
1490757544114,67,28-Mar-2017 10:19:04.004,MAD-SPC,-5.42149,39.22137,270.86458671657533,-132.35834
1490757544639,57,28-Mar-2017 10:19:04.004,BSR-IST,44.35032,32.80804,287.8414679882072,-52.15331
1490757544645,11,28-Mar-2017 10:19:04.004,VKO-ESB,35.59671,50.65919,243.3130881601436,-169.2079
1490757544811,22,28-Mar-2017 10:19:04.004,LJG-NGB,103.31509,27.52803,237.98161711331431,77.45888
1490757544847,71,28-Mar-2017 10:19:04.004,IAH-SFO,-105.17067,33.62092,284.6034386359533,-69.10981
1490757545013,30,28-Mar-2017 10:19:05.005,TPE-KUH,124.21517,28.12052,240.46649988694844,41.90186
1490757545137,78,28-Mar-2017 10:19:05.005,DCA-STL,-80.11052,38.96303,236.58342374518656,-88.29252
1490757545295,7,28-Mar-2017 10:19:05.005,DME-MLA,24.6859,46.72373,253.49479823989083,-141.26642
1490757545382,93,28-Mar-2017 10:19:05.005,GDL-PHX,-104.33073,22.21505,251.8658611937528,-29.46395
1490757545640,66,28-Mar-2017 10:19:05.005,CDG-PNR,5.99456,34.87698,277.22237797497,170.85561
1490757545846,1,28-Mar-2017 10:19:05.005,PMI-INN,4.04436,40.90649,250.68838517081034,37.02808
1490757546014,87,28-Mar-2017 10:19:06.006,TSF-AGP,8.25859,43.95906,259.19651351452615,-122.52939
1490757546286,81,28-Mar-2017 10:19:06.006,BIQ-NYO,3.55983,49.10536,202.37773623266526,33.78406
1490757546928,10,28-Mar-2017 10:19:06.006,HGH-HKG,118.7023,28.26022,293.9572211598794,-142.90693
1490757546940,97,28-Mar-2017 10:19:06.006,LAX-COS,-114.30872,35.62811,270.36362125934005,64.56972
1490757547105,36,28-Mar-2017 10:19:07.007,ITM-CTS,135.98128,35.56598,248.24443072972656,29.77792
1490757547229,3,28-Mar-2017 10:19:07.007,RIX-MLA,22.48187,54.65749,262.1976702698989,-160.32484
1490757547273,51,28-Mar-2017 10:19:07.007,CRL-REU,3.98538,49.32044,298.9162438254854,-165.32656
1490757547373,79,28-Mar-2017 10:19:07.007,DWC-KUF,55.02529,25.21588,212.66531939944593,-6.07702
1490757547423,40,28-Mar-2017 10:19:07.007,SUV-SYD,176.8442,-19.32014,200.22905503822017,-127.89203
1490757547566,68,28-Mar-2017 10:19:07.007,AYT-ZRH,22.88142,41.58495,203.0759005462188,-55.16417
1490757547632,61,28-Mar-2017 10:19:07.007,MSP-RIC,-88.28472,42.99704,268.0873523694638,119.61212
